,Country,Capital
0, Afganistan,Kabul 
1, Afrika Selatan,Pretoria 
2, Aljazair,Algiers
3, Amerika Serikat,Washington
4, Arab Saudi,Riyadh
5, Argentina,Buenos Aires 
6, Australia,Canberra 
7, Austria,Wina
8, Azerbaijan,Baku
9, Bahrain,Manama 
10, Bangladesh,Dhaka 
11, Belanda,Den Haag 
12, Belgia,Brussels 
13, Bosnia dan Herzegovina,Sarajevo
14, Brasil,Brasilia 
15, Britania Raya,London 
16, Brunei,Bandar Seri Begawan 
17, Bulgaria,Sofia
18, Ceko,Praha 
19, Chili,Santiago
20, Denmark,Kopenhagen 
21, Ekuador,Quito
22, Etiopia,Addis Ababa 
23, Fiji,Suva
24, Filipina,Manila
25, Finlandia,Helsinki 
26, Hongaria,Budapest 
27, India,New Delhi
28, Irak,Baghdad
29, Iran,Tehran
30, Italia,Rome
31, Jepang,Tokyo 
32, Jerman,Berlin 
33, Kamboja,Phnom Penh
34, Kanada,Ottawa
35, Kazakhstan,Astana
36, Kenya,Nairobi
37, Kolombia,Bogota 
38, Korea Selatan,Seoul
39, Korea Utara,Pyongyang 
40, Kroasia,Zagreb
41, Kuba,Havana 
42, Kuwait,Kuwait City 
43, Laos,Vientiane
44, Lebanon,Beirut 
45, Libya,Tripoli
46, Malaysia,Kuala Lumpur 
47, Maroko,Rabat
48, Meksiko,Mexico City
49, Mesir,Cairo
50, Mozambik,Maputo
51, Myanmar,Yangon
52, Namibia,Windhoek 
53, Nigeria,Abuja 
54, Norwegia,Oslo 
55, Oman,Muscat
56, Pakistan,Islamabad 
57, Panama,Panama
58, Papua Nugini,Port Moresby
59, Peru,Lima 
60, Polandia,Warsawa 
61, Portugal,Lisabon 
62, Prancis,Paris 
63, Qatar,Doha 
64, Rumania,Bucharest
65, Rusia,Moscow
66, Selandia Baru,Wellington
67, Senegal,Dakar
68, Serbia,Beograd
69, Singapura,Singapura
70, Slowakia,Bratislava
71, Spanyol,Madrid 
72, Sri Lanka,Damascus
73, Sudan,Khartoum
74, Suriah,Damaskus 
75, Suriname,Paramaribo
76, Swedia,Stockholm 
77, Swiss,Bern 
78, Takhta Suci,Vatican
79, Tanzania,Dar es Salaam 
80, Thailand,Bangkok 
81, Timor Leste,Dili 
82, Tiongkok,Beijing 
83, Tunisia,Tunis
84, Turki,Ankara 
85, Uni Emirat Arab,Abu Dhabi 
86, Ukraina,Kyiv 
87, Uzbekistan,Tashkent
88, Venezuela,Caracas 
89, Vietnam,Hanoi 
90, Yordania,Amman 
91, Yunani,Athena 
92, Zimbabwe,Harare 
