,Embassy,Embassy Latitude,Embassy Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Kabul ,34.531209999999994,69.17909,Kabul Star Hotel,34.531202093870824,69.1771585693829,Hotel
1,Kabul ,34.531209999999994,69.17909,Green Beans Coffee,34.52992437198425,69.17978108974692,Coffee Shop
2,Kabul ,34.531209999999994,69.17909,Bukhara Restaurant,34.529789,69.17968,Afghan Restaurant
3,Kabul ,34.531209999999994,69.17909,Spinneys Supermarket,34.53347844541488,69.17826958627838,Supermarket
4,Pretoria ,-25.7458008,28.2406273,Royal Danish Icecream,-25.742075872237358,28.24217427017798,Ice Cream Shop
5,Pretoria ,-25.7458008,28.2406273,Namaskar Indian Restaurant,-25.74266713776378,28.24223490423996,Indian Restaurant
6,Pretoria ,-25.7458008,28.2406273,Gautrain Hatfield Station,-25.74765486010325,28.237484087987312,Train Station
7,Pretoria ,-25.7458008,28.2406273,Steers,-25.744296735526085,28.24522787731553,Fast Food Restaurant
8,Pretoria ,-25.7458008,28.2406273,KFC Gordon Road,-25.7431,28.2422,Fried Chicken Joint
9,Pretoria ,-25.7458008,28.2406273,Dros,-25.74486678561343,28.236806316947412,Pub
10,Pretoria ,-25.7458008,28.2406273,Tiger Wheel & Tyre,-25.7438175,28.242329,Automotive Shop
11,Pretoria ,-25.7458008,28.2406273,Hatfield station,-25.747849454398928,28.23730936610162,Train Station
12,Pretoria ,-25.7458008,28.2406273,BP,-25.74632821,28.23576598,Gas Station
13,Algiers,36.74395,3.083627,CLUB-SANDWICH,36.74440134422321,3.0832961019630005,Food Truck
14,Algiers,36.74395,3.083627,El Bahdja,36.7430219397002,3.083369503055275,Moroccan Restaurant
15,Algiers,36.74395,3.083627,Les Fusillés,36.742107221637404,3.0831251961649286,Metro Station
16,Algiers,36.74395,3.083627,Sara Restaurant,36.74237605336912,3.0786182360093197,Restaurant
17,Washington,38.9102789,-77.0461492,Dupont Circle FRESHFARM Market,38.9109735889597,-77.04479491322044,Farmers Market
18,Washington,38.9102789,-77.0461492,ChiKo,38.909847,-77.046258,Asian Restaurant
19,Washington,38.9102789,-77.0461492,sweetgreen,38.91044867517602,-77.04424381256098,Salad Place
20,Washington,38.9102789,-77.0461492,The Phillips Collection,38.911795803684946,-77.04674384299759,Art Museum
21,Washington,38.9102789,-77.0461492,Second Story Books,38.90948755746422,-77.0451021194458,Bookstore
22,Washington,38.9102789,-77.0461492,Fantom Comics,38.90940615927527,-77.04540789127348,Comic Shop
23,Washington,38.9102789,-77.0461492,Kramerbooks & Afterwords Cafe,38.91075587058406,-77.0438804567901,Bookstore
24,Washington,38.9102789,-77.0461492,Dupont Circle,38.90990465512362,-77.04350179974503,Park
25,Washington,38.9102789,-77.0461492,Cosmos Club,38.91121944028376,-77.047712800964,Social Club
26,Washington,38.9102789,-77.0461492,Tabletop,38.91148279310842,-77.04477046683749,Furniture / Home Store
27,Washington,38.9102789,-77.0461492,Pizzeria Paradiso,38.90977558107571,-77.0452281832695,Pizza Place
28,Washington,38.9102789,-77.0461492,Pure Barre,38.9094303,-77.0482069,Gym
29,Washington,38.9102789,-77.0461492,Zorba's Cafe,38.911685273283226,-77.04512357711792,Greek Restaurant
30,Washington,38.9102789,-77.0461492,Deluca Massage & Bodywork,38.909466686142636,-77.04615354537964,Massage Studio
31,Washington,38.9102789,-77.0461492,Taïm,38.9105216207485,-77.04420950524423,Middle Eastern Restaurant
32,Washington,38.9102789,-77.0461492,Dupont Veterinary Clinic,38.90939,-77.04593,Veterinarian
33,Washington,38.9102789,-77.0461492,Dolcezza Artisanal Gelato,38.912786,-77.045628,Ice Cream Shop
34,Washington,38.9102789,-77.0461492,Emissary,38.909491,-77.04639,Café
35,Washington,38.9102789,-77.0461492,Rakuya,38.91103,-77.0436,Japanese Restaurant
36,Washington,38.9102789,-77.0461492,Doyle,38.91044364935449,-77.0431574728444,Hotel Bar
37,Washington,38.9102789,-77.0461492,Dupont Circle Fountain (Samuel Francis Du Pont Memorial Fountain),38.90967696580859,-77.0434461525668,Fountain
38,Washington,38.9102789,-77.0461492,The Mansion on O Street,38.90850270508033,-77.04585389497149,Event Space
39,Washington,38.9102789,-77.0461492,The Society of the Cincinnati,38.91071018878089,-77.04770654439926,History Museum
40,Washington,38.9102789,-77.0461492,Obelisk,38.909681055744635,-77.04624170465782,Italian Restaurant
41,Washington,38.9102789,-77.0461492,Lemon Cuisine of India,38.909653585787744,-77.0472449168644,Indian Restaurant
42,Washington,38.9102789,-77.0461492,Heurich Mansion (The Brewmaster's Castle),38.90804533470229,-77.04455494880676,History Museum
43,Washington,38.9102789,-77.0461492,Drybar,38.91215557988904,-77.04483651520648,Health & Beauty Service
44,Washington,38.9102789,-77.0461492,CrackedMacScreen / GadgetWraps HQ,38.911536518241995,-77.0447836688151,Electronics Store
45,Washington,38.9102789,-77.0461492,Al Tiramisu,38.909569,-77.045607,Italian Restaurant
46,Washington,38.9102789,-77.0461492,Sorrelina,38.90978431023775,-77.04629962052411,Sandwich Place
47,Washington,38.9102789,-77.0461492,Kimpton Hotel Palomar Washington DC,38.909869,-77.047368,Hotel
48,Washington,38.9102789,-77.0461492,Teaism,38.91275384366248,-77.04583436250687,Tea Room
49,Washington,38.9102789,-77.0461492,Firehook Bakery,38.9112741198476,-77.04380393028259,Bakery
50,Washington,38.9102789,-77.0461492,Barry's Bootcamp,38.908193988432224,-77.0434115879283,Gym / Fitness Center
51,Washington,38.9102789,-77.0461492,The Pembroke,38.91060833842133,-77.04320311546326,Restaurant
52,Washington,38.9102789,-77.0461492,Philz Coffee,38.90839893074587,-77.04313832713275,Coffee Shop
53,Washington,38.9102789,-77.0461492,Toolbox Pilates Art Studio,38.91214815564449,-77.04401954677873,Pilates Studio
54,Washington,38.9102789,-77.0461492,Hotel Palomar Wine Social,38.90968523694888,-77.04738714321499,Wine Bar
55,Washington,38.9102789,-77.0461492,Bagels Etc,38.9095701885208,-77.04776280409925,Bagel Shop
56,Washington,38.9102789,-77.0461492,Yoga District,38.9121283146122,-77.04466093566069,Yoga Studio
57,Washington,38.9102789,-77.0461492,Larry's Homemade Ice Cream,38.912123,-77.044592,Ice Cream Shop
58,Washington,38.9102789,-77.0461492,Tiki Taco,38.90948672262424,-77.04541593790054,Taco Place
59,Washington,38.9102789,-77.0461492,Bangkok Thai,38.90947503467203,-77.0456425845623,Thai Restaurant
60,Washington,38.9102789,-77.0461492,Un Je Ne Sais Quoi,38.908752,-77.042634,French Restaurant
61,Washington,38.9102789,-77.0461492,HRC Action Center and Store,38.91201980319019,-77.04467618771783,Clothing Store
62,Washington,38.9102789,-77.0461492,Bethesda Bagels,38.913263078573614,-77.04585045576094,Bagel Shop
63,Washington,38.9102789,-77.0461492,The Dupont Circle Hotel,38.910677,-77.043065,Hotel
64,Washington,38.9102789,-77.0461492,ArtJamz Dupont Studio,38.91363907647949,-77.04589639008898,Art Gallery
