,Address
0,"Malalai Watt, Shah-re-Naw, Ministry of Interior Stret, Kabul, Afghanistan"
1,"Embassy of the Republic of Indonesia949 Francis Baard Street, Hatfield, Pretoria 0082 Postal AddressPO Box 13155 Hatfield 0082Pretoria  South Africa"
2,"Embassy of the Republic of Indonesia-61, Avenue Souidani Boudjemaa, B.P. 62, El Mouradia, Algiers, Algeria"
3,
4,"Diplomatic Quarter, P.O. Box 94343 - Riyadh 11693"
5,"Mariscal Ramon Castilla 2901, 1425 Capital Federal Buenos Aires, Argentina"
6,"Embassy of the Republic of IndonesiaAddress 8 Darwin Avenue, Yarralumla Canberra, ACT 2600 Australia"
7,"Embassy of the Republic of Indonesia in Vienna, the Republic of Austria Accredited to the Republic of Slovenia and the International Organizations in Vienna.Gustav Tschermakgasse 5-7, A-1180, Wien, Austria"
8,"EMBASSY OF THE REPUBLIC OF INDONESIAAzer Aliyev 3, Nasimi District,Baku"
9,"Embassy of the Republic of Indonesia to BahrainVilla 2113, Road 2432,Juffair 324,Manama - Kingdom of Bahrain"
10,"Embassy of the Republic of IndonesiaRoad No. 53, Plot No. 14, Gulshan - 2, Dhaka 1212, Bangladesh"
11,"Tobias Asserlaan 8, 2517 KC - Den Haag, Belanda"
12,"Boulevardde la Woluwe 38, 1200Brussels, Belgium"
13,"Splitska 9, 71000 SarajevoBosnia and Herzegovina"
14,"SES Avenida Das Nacoes Quadra 805, Lote. 20 CEP-70479-900 Brasilia-DF, Brazil"
15,"Embassy of the Republic of Indonesia in London30 Great Peter Street, London SW1P 2BU, United Kingdom"
16,"Simpang 336-43, Jalan Kebangsaan, Kampung Kawasan Diplomatik, Mukim Kianggeh, Brunei Muara, BS8111, Bandar Seri Begawan, Brunei Darussalam"
17,"Yosef Valdhard Street no. 5 Simeonovsko Shosse1700 Sofia, Bulgaria."
18,"Nad Budankami II  7, 150 21, Praha 5 - Smichov, Republik Ceko Mapa"
19,"Av. Las Urbinas 160, Providencia, Santiago, Chile"
20,"rehj Alle 1, 2900 Hellerup, Denmark"
21,"CALLE QUITEO LIBRE E15-84 Y LA CUMBRE, BELLAVISTA QUITO, ECUADOR."
22,"Egypt Street Mekanissa Road Woreda 05, Kebele 03, House No. 1816,Addis Ababa - Ethiopia"
23,"6th Floor Ra Marama Building, 91 Gordon Street, Suva, Fiji P.O. BOX 878 Suva"
24,"Embassy of the Republic of Indonesia in Manila, the Philippines185 Salcedo Street, Legaspi Village, Makati City 1229Metro Manila"
25,"Kuusisaarentie 3, 00340 Helsinki, Finlandia"
26,"Varosligeti fasor 26, 1068 Budapest, Hungary"
27,"50-A Kautilya Marg, Chanakyapuri, New Delhi 110021"
28,"Embassy of the Republic of IndonesiaSalhiya, Hay, Al-l'lam 220, Zukak 5, House 8PO Box 420Baghdad - Iraq"
29,"180, Ghaemmagham Farahani Ave. P.O.BOX 113654564, Tehran, IranHotline No. 98 99 1466 8845"
30,"Via Campania 55, 00187 Roma, Italia"
31,"4 Chome--1 Yotsuya, Shinjuku City, Tokyo 160-0004"
32,Lehrter Str. 16-1710557 BerlinGermany
33,"No. 33, Street 268, Preah Suramarit Boulevard, Phnom Penh, Kingdom of Cambodia"
34,"55 Parkdale Avenue,Ottawa, ON K1Y 1E5Canada"
35,"22 Saraishyk Street,Diplomatic town,Nur-Sultan, 010000,Republic of Kazakhstan"
36,"Menengai Rd, Upper Hill, Nairobi P.O. Box 48868 Kenya"
37,Calle70No. 8 - 19Bogota
38,"380 Yeouidaebang-ro, Yeongdeungpo-gu, Seoul, Republic of Korea 07342"
39,"Foreigner's Building Munsudong Taedonggang Distric, Pyongyang, Democratic People's Republic of Korea P.O.BOX 178 PYONGYANG"
40,"Medveak Ul. 56, 10000 Zagreb"
